epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,18307,1.40335,0.7747,0.85108,0.86715,0.83327,0.88436,0.55178,1.53588,0.8896,0.89672,0.00165295,0.00165295,0.00165295
57,18621.1,1.4125,0.78405,0.85546,0.87177,0.8435,0.88781,0.56582,1.47064,0.8753,0.88341,0.00164105,0.00164105,0.00164105
58,18954,1.40615,0.77822,0.85341,0.85088,0.83509,0.88091,0.5712,1.43802,0.89276,0.88067,0.00162899,0.00162899,0.00162899
59,19304.6,1.42439,0.78252,0.84649,0.8432,0.84337,0.87925,0.5568,1.48423,0.88543,0.88733,0.00161678,0.00161678,0.00161678
60,19628.1,1.40157,0.77568,0.84997,0.85592,0.84689,0.88844,0.55343,1.56995,0.87617,0.90382,0.00160442,0.00160442,0.00160442
61,19957.2,1.4087,0.78095,0.85128,0.86691,0.83553,0.88287,0.56469,1.45194,0.88362,0.88192,0.00159191,0.00159191,0.00159191
62,20266.3,1.38624,0.77918,0.84961,0.86353,0.84218,0.88546,0.5708,1.45903,0.86954,0.88416,0.00157926,0.00157926,0.00157926
63,20585.5,1.3596,0.75563,0.84724,0.87038,0.84094,0.88802,0.57664,1.42045,0.86173,0.87755,0.00156646,0.00156646,0.00156646
64,20914.4,1.42331,0.77131,0.851,0.86402,0.83653,0.88488,0.55963,1.4652,0.87933,0.88247,0.00155353,0.00155353,0.00155353
65,21239.3,1.38569,0.76502,0.84991,0.85598,0.8409,0.88369,0.55872,1.51565,0.86957,0.89489,0.00154047,0.00154047,0.00154047
66,21565,1.38905,0.76515,0.84899,0.86841,0.83814,0.88659,0.57751,1.40862,0.8757,0.87519,0.00152727,0.00152727,0.00152727
67,21877.5,1.35169,0.75047,0.84449,0.86095,0.83895,0.88461,0.57405,1.43412,0.86677,0.88016,0.00151395,0.00151395,0.00151395
68,22205.9,1.37674,0.75917,0.84608,0.85699,0.83375,0.88049,0.54327,1.52475,0.91947,0.89276,0.0015005,0.0015005,0.0015005
69,22524.2,1.38478,0.75518,0.84906,0.8534,0.83931,0.87864,0.54468,1.57811,0.88152,0.90769,0.00148694,0.00148694,0.00148694
70,22861.4,1.36763,0.76265,0.84488,0.85638,0.84292,0.88177,0.5522,1.53171,0.87351,0.89722,0.00147325,0.00147325,0.00147325
71,23186.5,1.3846,0.76301,0.84901,0.86941,0.84346,0.88772,0.5776,1.41276,0.86387,0.87577,0.00145945,0.00145945,0.00145945
72,23511.6,1.38465,0.75403,0.84884,0.86709,0.84112,0.88525,0.56635,1.44543,0.88099,0.87869,0.00144554,0.00144554,0.00144554
73,23843.4,1.37645,0.76003,0.84588,0.87376,0.83321,0.88701,0.57191,1.44287,0.86537,0.87927,0.00143152,0.00143152,0.00143152
74,24182.4,1.37141,0.7569,0.85043,0.86999,0.84139,0.88524,0.56604,1.44636,0.87332,0.87829,0.0014174,0.0014174,0.0014174
75,24513.7,1.35658,0.74505,0.84488,0.86168,0.8486,0.88675,0.57467,1.43766,0.85537,0.87908,0.00140318,0.00140318,0.00140318
76,24845.3,1.36215,0.74952,0.85012,0.86893,0.84725,0.89171,0.57217,1.4568,0.86007,0.88457,0.00138886,0.00138886,0.00138886
77,25157.8,1.3797,0.7398,0.84514,0.86486,0.83968,0.88355,0.5695,1.44939,0.86833,0.88226,0.00137444,0.00137444,0.00137444
78,25484.9,1.36563,0.74816,0.84368,0.85818,0.83974,0.88426,0.56669,1.44827,0.8632,0.8801,0.00135994,0.00135994,0.00135994
79,25812.7,1.40702,0.76281,0.84658,0.86293,0.83903,0.88393,0.55066,1.51481,0.88003,0.88866,0.00134535,0.00134535,0.00134535
80,26125.5,1.36595,0.74454,0.84725,0.86068,0.83796,0.88497,0.57531,1.44544,0.85755,0.88211,0.00133068,0.00133068,0.00133068
81,26499.1,1.35073,0.74769,0.84227,0.86506,0.84052,0.88659,0.57987,1.41486,0.85502,0.87748,0.00131593,0.00131593,0.00131593
82,26840.6,1.33309,0.72859,0.8417,0.86662,0.84076,0.88617,0.57032,1.44428,0.85971,0.88113,0.0013011,0.0013011,0.0013011
83,27170.4,1.32086,0.72454,0.84356,0.86613,0.83718,0.88539,0.57344,1.4345,0.85506,0.88091,0.0012862,0.0012862,0.0012862
84,27527.9,1.32644,0.72641,0.83885,0.86694,0.84366,0.88643,0.57405,1.42028,0.86179,0.87662,0.00127123,0.00127123,0.00127123
85,27838.8,1.33652,0.73481,0.84391,0.86127,0.84362,0.88328,0.56473,1.46445,0.85932,0.88294,0.0012562,0.0012562,0.0012562
86,28170.1,1.3614,0.74504,0.8438,0.86304,0.84094,0.88558,0.57312,1.44467,0.85225,0.88122,0.00124111,0.00124111,0.00124111
87,28502.4,1.34746,0.73736,0.84533,0.85961,0.82669,0.87105,0.52675,1.67177,0.89689,0.9244,0.00122596,0.00122596,0.00122596
88,28854.6,1.34106,0.73256,0.83818,0.87236,0.83567,0.88601,0.567,1.45527,0.86057,0.88268,0.00121076,0.00121076,0.00121076
89,29208.4,1.3281,0.7182,0.84186,0.85732,0.84525,0.88483,0.57806,1.41612,0.85943,0.87704,0.00119551,0.00119551,0.00119551
90,29532.8,1.33751,0.71887,0.83971,0.86398,0.8422,0.88636,0.5747,1.42872,0.85457,0.87802,0.00118021,0.00118021,0.00118021
91,29862.5,1.33447,0.74218,0.8449,0.86524,0.83661,0.88566,0.57981,1.40999,0.86281,0.87513,0.00116487,0.00116487,0.00116487
92,30180.6,1.29022,0.71249,0.84062,0.86221,0.84887,0.88673,0.57606,1.44871,0.84645,0.88389,0.00114949,0.00114949,0.00114949
93,30495.7,1.28153,0.70401,0.84135,0.86725,0.83931,0.88682,0.57767,1.42546,0.84891,0.87793,0.00113408,0.00113408,0.00113408
94,30841.5,1.32594,0.7284,0.83871,0.8648,0.84727,0.88897,0.58122,1.431,0.84003,0.88157,0.00111864,0.00111864,0.00111864
95,31170.5,1.32754,0.7266,0.84184,0.86563,0.84348,0.88673,0.57428,1.44586,0.84804,0.88217,0.00110317,0.00110317,0.00110317
96,31481.6,1.28865,0.70632,0.83775,0.86205,0.84256,0.88671,0.57523,1.46129,0.84264,0.88559,0.00108767,0.00108767,0.00108767
97,31830.9,1.29682,0.71503,0.83904,0.86878,0.83977,0.88707,0.58005,1.42154,0.83475,0.87889,0.00107216,0.00107216,0.00107216
98,32152.9,1.30853,0.71926,0.84041,0.86325,0.845,0.88643,0.57626,1.44479,0.84475,0.88184,0.00105664,0.00105664,0.00105664
99,32480.1,1.29111,0.70731,0.83849,0.86644,0.84583,0.88725,0.57684,1.42662,0.83792,0.87961,0.0010411,0.0010411,0.0010411
100,32794.8,1.27329,0.69997,0.83796,0.86523,0.84118,0.88753,0.58062,1.42172,0.84568,0.87954,0.00102555,0.00102555,0.00102555
101,33129.7,1.2933,0.70202,0.83611,0.86353,0.84382,0.88595,0.57339,1.45793,0.83716,0.88436,0.00101,0.00101,0.00101
102,33457.1,1.29856,0.71062,0.83545,0.86571,0.84523,0.88753,0.58272,1.42043,0.83321,0.87954,0.00099445,0.00099445,0.00099445
103,33782.2,1.30809,0.71539,0.83876,0.86174,0.84529,0.88586,0.56973,1.46568,0.84503,0.88737,0.000978903,0.000978903,0.000978903
104,34094.5,1.26788,0.69623,0.83512,0.86579,0.84112,0.88531,0.57661,1.44519,0.84236,0.8824,0.000963365,0.000963365,0.000963365
105,34416.6,1.26271,0.6892,0.83843,0.86838,0.83977,0.88674,0.58139,1.42109,0.83735,0.87892,0.000947837,0.000947837,0.000947837
106,34732.7,1.2867,0.715,0.83937,0.86063,0.84545,0.88593,0.57678,1.44371,0.83608,0.88306,0.000932325,0.000932325,0.000932325
107,35056.2,1.27971,0.69927,0.83599,0.86038,0.84463,0.8837,0.57064,1.47086,0.83954,0.88734,0.000916833,0.000916833,0.000916833
108,35363.8,1.28587,0.70281,0.83255,0.86798,0.83959,0.8849,0.57671,1.43482,0.84524,0.88211,0.000901363,0.000901363,0.000901363
109,35672.7,1.27524,0.6948,0.83754,0.86722,0.84752,0.88756,0.58069,1.4347,0.83324,0.88273,0.00088592,0.00088592,0.00088592
110,35991.7,1.26949,0.69428,0.83432,0.86662,0.84274,0.88698,0.58028,1.42573,0.83087,0.87939,0.000870508,0.000870508,0.000870508
111,36315.2,1.23949,0.67551,0.83087,0.86441,0.84443,0.88676,0.57873,1.43833,0.83765,0.88268,0.00085513,0.00085513,0.00085513
112,36650.2,1.27209,0.69498,0.83359,0.85764,0.84409,0.88491,0.57389,1.44797,0.8414,0.88259,0.00083979,0.00083979,0.00083979
113,37002.2,1.25068,0.67695,0.83241,0.85971,0.84788,0.88553,0.57676,1.46507,0.82395,0.88986,0.000824492,0.000824492,0.000824492
114,37338.5,1.27007,0.68652,0.83221,0.86056,0.84364,0.88499,0.56988,1.47194,0.83524,0.88502,0.000809241,0.000809241,0.000809241
115,37649.7,1.27974,0.68106,0.8388,0.86289,0.8416,0.88553,0.57692,1.44515,0.82952,0.8831,0.000794038,0.000794038,0.000794038
116,37965.3,1.27048,0.68271,0.83708,0.86339,0.84491,0.88548,0.57522,1.45364,0.82752,0.88513,0.000778889,0.000778889,0.000778889
117,38294.3,1.28126,0.69413,0.83852,0.86427,0.83769,0.88337,0.56612,1.48312,0.84144,0.88858,0.000763797,0.000763797,0.000763797
118,38614.9,1.28608,0.69281,0.83221,0.86694,0.84076,0.88584,0.57758,1.44529,0.83622,0.88443,0.000748766,0.000748766,0.000748766
119,38966.2,1.24242,0.67882,0.83315,0.86136,0.84764,0.88709,0.57642,1.46194,0.82813,0.88792,0.000733799,0.000733799,0.000733799
120,39314.5,1.25904,0.68529,0.83522,0.86264,0.84148,0.88461,0.57575,1.44611,0.83978,0.88363,0.0007189,0.0007189,0.0007189
121,39635.9,1.25355,0.68141,0.83504,0.86251,0.84121,0.88494,0.57339,1.45177,0.8361,0.88526,0.000704073,0.000704073,0.000704073
122,39940,1.23937,0.67253,0.83837,0.86286,0.84337,0.88462,0.57444,1.46535,0.83051,0.8883,0.000689322,0.000689322,0.000689322
123,40269.6,1.2539,0.67674,0.83244,0.86135,0.84491,0.88618,0.57994,1.43904,0.82113,0.88325,0.000674649,0.000674649,0.000674649
124,40593.5,1.23462,0.66623,0.83122,0.8626,0.8413,0.8838,0.57545,1.45021,0.83473,0.88391,0.00066006,0.00066006,0.00066006
